,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.05,simple_const,random_forest,0.7796,0.0075,0.7473,0.0072,0.7944,0.0068,31925.6058,474.927,37786.0091,1016.0129,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_freq,lightgbm,0.8298,0.0042,0.7945,0.0047,0.8389,0.0039,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_freq,logistic_regression,0.8061,0.0021,0.7685,0.0032,0.8171,0.0021,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_freq,random_forest,0.7834,0.0062,0.7505,0.0056,0.7977,0.0055,14544.5106,1195.3695,20610.9099,1815.5975,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_mean,lightgbm,0.83,0.0048,0.7948,0.005,0.8391,0.0043,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_mean,logistic_regression,0.8062,0.0007,0.7685,0.0019,0.8172,0.0009,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_mean,random_forest,0.7806,0.006,0.7481,0.0057,0.7952,0.0054,13514.0863,56.2484,19311.8194,838.2398,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_median,lightgbm,0.8292,0.0039,0.7939,0.0042,0.8384,0.0035,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_median,logistic_regression,0.8057,0.0027,0.768,0.0037,0.8167,0.0026,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
adult,classification,MAR,0.05,simple_median,random_forest,0.7841,0.0055,0.7512,0.0051,0.7984,0.0049,13233.0934,80.6825,19434.1951,882.9003,0.5914,0.0465,11710.3333,45.3468,15367.0,68.6367,,,,,,
